Customer ID,,Name,Age,SSN,Occupation,Annual Income,,Num Bank Accounts,Num Credit Card,Interest Rate,Num of Loan,Type of Loan,Delay from due date,Num of Delayed Payment,Changed Credit Limit,Num Credit Inquiries,CreditAbove StandardMix,Outstanding Debt,Credit Utilization Ratio,,,Total EMI per month,Amount invested monthly,Payment Behaviour,Monthly Balance,,Monthly_In_Hand_Salary,Credit History Age (Months)
CUS 0xd40,,Aaron Maashoh,23,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,7,11.27,2022,Good,809.98,35.03,,,49.57,236.64,Low spent Small value payments,186.27,,1433.56,273
CUS 0xd40,,Aaron Maashoh,24,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",3,9,13.27,4,Good,809.98,33.05,,,49.57,21.47,High spent Medium value payments,361.44,,1433.56,274
CUS 0xd40,,Aaron Maashoh,24,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",-1,4,12.27,4,Good,809.98,33.81,,,49.57,148.23,Low spent Medium value payments,264.68,,1433.56,
CUS 0xd40,,Aaron Maashoh,24,821-00-0265,Scientist,19114.12,,3,4,3,4,"Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",4,5,11.27,4,Good,809.98,32.43,,,49.57,39.08,High spent Medium value payments,343.83,,1433.56,276
CUS 0x21b1,,Rick Rothackerj,28,004-07-5839,       ,34847.84,,2,4,6,1,Credit-Builder Loan,3,1,5.42,5,Good,605.03,25.93,,,18.82,39.68,High spent Large value payments,485.3,,2613.59,327
CUS 0x21b1,,Rick Rothackerj,28,Data MIssing,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,3,5.42,5,Good,605.03,30.12,,,18.82,251.63,Low spent Large value payments,303.36,,2613.59,328
CUS 0x21b1,,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,Data Missing,5.42,5,Above Standard,605.03,31,,,18.82,72.68,High spent Large value payments,452.3,,2613.59,329
CUS 0x21b1,,Rick Rothackerj,28,004-07-5839,Teacher,34847.84,,2,4,6,1,Credit-Builder Loan,3,2,7.42,5,Above Standard,605.03,33.88,,,18.82,153.53, Data Missing,421.45,,2613.59,330
CUS 0x2dbc,,Langep,35,486-85-3974,Engineer,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,15,7.1,3,Good,1303.01,35.23,,,246.99,397.5,Low spent Medium value payments,854.23,,10737.2,221
CUS 0x2dbc,,Langep,35,486-85-3974,Engineer,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",6,3,2.1,3,Good,1303.01,35.69,,,246.99,453.62,Low spent Large value payments,788.11,,10737.2,222
CUS 0x2dbc,,Data MIssing,35,486-85-3974,Engineer,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,5,7.1,5,Good,1303.01,31.82,,,246.99,841.23,Low spent Medium value payments,410.5,,10737.2,223
CUS 0x2dbc,,Langep,35,486-85-3974,Engineer,143162.64,,1,5,8,3,"Auto Loan, Auto Loan, and Not Specified",8,6,7.1,5,Good,1303.01,33.71,,,246.99,506.31,High spent Medium value payments,715.42,,10737.2,
CUS 0xb891,,Jasond,55,072-31-6145,Entrepreneur,30689.89,,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,39.38,,,16.42,69.11,High spent Medium value payments,425.73,,2301.74,215
CUS 0xb891,,Jasond,55,072-31-6145,Entrepreneur,30689.89,,2,5,4,1,Not Specified,5,8,1.99,4,Above Standard,632.46,36.28,,,16.42,29.39,High spent Large value payments,455.44,,2301.74,216
CUS 0xb891,,Jasond,55,072-31-6145,Entrepreneur,30689.89,,2,5,4,1,Not Specified,5,6,1.99,4,Good,632.46,36.82,,,16.42,191.89,Low spent Medium value payments,332.95,,2301.74,217
CUS 0xb891,,Jasond,55,072-31-6145,Entrepreneur,4148862,,2,5,4,1,Not Specified,6,6,1.99,7,Good,632.46,35.58,,,16.42,233.93,Low spent Small value payments,300.9,,311164.65,218
CUS 0x1cdb,,Deepaa,22,615-06-7821,Developer,35547.71,,7,5,5,0,,5,15,2.58,4,Above Standard,943.86,34.73,,,0,59.37,High spent Medium value payments,475.96,,2666.08,376
CUS 0x1cdb,,Deepaa,22,Data MIssing,Developer,35547.71,,7,5,5,0,,5,18,2.58,5,Standard,943.86,31.65,,,0,113.45,High spent Medium value payments,421.88,,2666.08,377
CUS 0x1cdb,,Deepaa,22,615-06-7821,Developer,35547.71,,7,5,5,0,,5,15,2.58,5,Standard,943.86,36.42,,,0,46.56,High spent Medium value payments,488.77,,2666.08,
CUS 0x1cdb,,Deepaa,22,615-06-7821,Developer,35547.71,,7,5,5,0,,5,18,2.58,5,Standard,943.86,29.57,,,0,181.01,Low spent Small value payments,394.32,,2666.08,379
CUS 0x95ee,,Np,31,612-70-8987,Lawyer,73928.46,,4,5,8,0,,8,7,14.14,4,Good,548.2,38.14,,,0,56.12,High spent Large value payments,782.75,,5544.63,391
CUS 0x95ee,,Np,32,612-70-8987,Lawyer,73928.46,,4,5,8,0,,9,Data Missing,10.14,4,Good,548.2,38.23,,,0,160.24,High spent Small value payments,698.63,,5544.63,392
CUS 0x95ee,,Np,34,612-70-8987,Lawyer,73928.46,,4,5,8,0,,8,Data Missing,10.14,4,Above Standard,548.2,31.29,,,0,105.75,High spent Large value payments,733.12,,5544.63,393
CUS 0x95ee,,Np,32,612-70-8987,Lawyer,73928.46,,4,5,8,0,,8,7,10.14,1552,Good,548.2,29.15,,,0,130.87,High spent Large value payments,708,,5544.63,394
CUS 0x284a,,Nadiaq,34,411-51-0676,Lawyer,131313.4,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,Data Missing,9.34,4,Good,352.16,28.4,,,911.22,324.23,High spent Medium value payments,912.41,,9848.5,
CUS 0x284a,,Nadiaq,34,411-51-0676,Lawyer,131313.4,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,9.34,4,Good,352.16,31.03,,,911.22,966.07,Low spent Large value payments,290.56,,9848.5,376
CUS 0x284a,,Nadiaq,34,411-51-0676,Lawyer,131313.4,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,1,9.34,4,Good,352.16,26.07,,,911.22,1141.22,Low spent Medium value payments,125.41,,9848.5,377
CUS 0x284a,,Nadiaq,34,411-51-0676,Lawyer,131313.4,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,0,10.34,4,Good,352.16,34.67,,,911.22,555.85,Low spent Medium value payments,710.79,,9848.5,378
CUS 0x5407,,Annk,30,500-92-6408,Media Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9,Above Standard,1704.18,38.48,,,70.48,315.37,Low spent Small value payments,165.27,,2556.1,183
CUS 0x5407,,Annk,30,500-92-6408,Media Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,17,17.13,9,Standard,1704.18,38.37,,,70.48,112.91,High spent Small value payments,337.73,,2556.1,184
CUS 0x5407,,Data MIssing,31,500-92-6408,Media Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",29,15,17.13,9,Standard,1704.18,35.82,,,70.48,50.13,High spent Medium value payments,390.5,,2556.1,185
CUS 0x5407,,Annk,31,500-92-6408,Media Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9,Standard,1704.18,34.75,,,70.48,99.69,High spent Medium value payments,340.95,,2556.1,186
CUS 0x4157,,Charlie Zhur,24,070-19-1622,Doctor,114838.41,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,12,8.24,8,Good,1377.74,41.46,,,226.89,213.48,High spent Large value payments,784.02,,8612.88,264
CUS 0x4157,,Charlie Zhur,24,070-19-1622,Doctor,114838.41,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,9, ,8,Good,1377.74,29.18,,,226.89,916.95,Low spent Medium value payments,120.54,,8612.88,265
CUS 0x4157,,Charlie Zhur,34,070-19-1622,Doctor,114838.41,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,8,8.24,8,Good,1377.74,28.99,,,226.89,427.38,Low spent Large value payments,600.11,,8612.88,266
CUS 0x4157,,Charlie Zhur,24,070-19-1622,Doctor,114838.41,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8,Above Standard,1377.74,35,,,226.89,,High spent Small value payments,819.99,,8612.88,267
CUS 0xba08,,Jamesj,45,366-68-1681,Journalist,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",3,0,0.24,5,Good,421.43,40.63,,,46.62,161.58, Data Missing,364.32,,2352.81,325
CUS 0xba08,,Jamesj,45,366-68-1681,Journalist,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",2,3,5.76,5,Good,421.43,33.85,,,46.62,109.42,High spent Medium value payments,376.49,,2352.81,326
CUS 0xba08,,Data MIssing,45,366-68-1681,Journalist,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",6,2,5.76,5,Above Standard,421.43,25.68,,,46.62,88.61,High spent Medium value payments,397.29,,2352.81,327
CUS 0xba08,,Jamesj,45,366-68-1681,Journalist,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Good,421.43,40.3,,,46.62,22.3,High spent Large value payments,453.61,,2352.81,328
